word,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
cant,685,426,0.006384624705235392,0.008436645938131263,1111
tax,563,536,0.005247509064302957,0.010615122588822435,1099
needs,181,910,0.0016870322213833665,0.018021943201172418,1091
literally,954,136,0.008891871487291335,0.0026933893135818116,1090
2016,23,1062,0.0002143742601757869,0.02103220184576385,1085
officials,61,1015,0.0005685578204662175,0.02010139818592308,1076
executives,1064,3,0.009917139688132055,5.941299956430467e-05,1067
provides,1063,2,0.009907819068124412,3.960866637620311e-05,1065
whereabouts,1063,1,0.009907819068124412,1.9804333188101555e-05,1064
locations,1063,1,0.009907819068124412,1.9804333188101555e-05,1064
oscars,1057,1,0.009851895348078555,1.9804333188101555e-05,1058
israel,1054,3,0.009823933488055625,5.941299956430467e-05,1057
crime,983,73,0.00916216946751298,0.0014457163227314135,1056
elizabeth,613,436,0.005713540064685103,0.008634689270012279,1049
never,455,591,0.004240882103477523,0.01170436091416802,1046
wall,648,396,0.006039761764952605,0.007842515942488217,1044
10,550,490,0.0051263410042036,0.009704123262169764,1040
happening,1021,18,0.009516353027803409,0.000356477997385828,1039
way,439,595,0.004091752183355237,0.011783578246920426,1034
mcconnell,2,1031,1.8641240015285817e-05,0.020418267516932705,1033
put,657,375,0.006123647345021391,0.007426624945538083,1032
alleged,890,142,0.008295351806802189,0.002812215312710421,1032
judge,274,753,0.002553849882094157,0.014912662890640473,1027
public,213,814,0.0019852920616279393,0.016120727215114667,1027
2020,662,359,0.006170250445059605,0.007109755614528459,1021
getting,219,796,0.0020412157816737967,0.01576424921772884,1015
krassensteins,1011,1,0.009423146827726981,1.9804333188101555e-05,1012
isnt,330,677,0.00307580460252216,0.013407533568344754,1007
isis,896,100,0.008351275526848046,0.0019804333188101556,996
go,763,232,0.007111633065831539,0.004594605299639561,995
day,308,678,0.002870750962354016,0.013427337901532855,986
country,433,550,0.0040358284633093796,0.010892383253455856,983
votes,946,34,0.00881730652723019,0.0006733473283954529,980
right,512,467,0.004772157443913169,0.009248623598843427,979
plan,676,301,0.006300739125166606,0.005961104289618569,977
justice,503,459,0.004688271863844383,0.009090188933338614,962
poll,39,922,0.0003635041802980734,0.018259595199429636,961
syria,367,590,0.0034206675428049473,0.01168455658097992,957
admin,155,802,0.0014446961011846508,0.01588307521685745,957
htt,709,247,0.0066083195854188224,0.004891670297461084,956
turn,807,147,0.007521740346167827,0.0029112369786509287,954
buying,923,25,0.008602932267054405,0.0004951083297025389,948
support,189,759,0.0017615971814445098,0.015031488889769082,948
veritas,944,1,0.008798665287214905,1.9804333188101555e-05,945
ground,905,38,0.008435161106916831,0.0007525646611478592,943
project,936,7,0.008724100327153763,0.0001386303323167109,943
money,503,436,0.004688271863844383,0.008634689270012279,939
found,287,649,0.0026750179421935146,0.01285301223907791,936
must,473,463,0.004408653263615095,0.00916940626609102,936
jussie,932,1,0.00868681784712319,1.9804333188101555e-05,933
trying,732,200,0.0068226938455946086,0.003960866637620311,932
crimes,518,414,0.004828081163959027,0.008198993939874045,932
war,747,182,0.006962503145709253,0.0036043886402344835,929
years,500,426,0.004660310003821454,0.008436645938131263,926
living,904,20,0.008425840486909189,0.00039608666376203115,924
potentially,856,67,0.00797845072654233,0.0013268903236028043,923
rights,875,47,0.008155542506687544,0.0009308036598407732,922
friends,914,6,0.008519046686985618,0.00011882599912860934,920
forward,427,492,0.003979904743263522,0.009743731928545966,919
democratvoterfraud,911,1,0.008491084826962689,1.9804333188101555e-05,912
chicago,909,2,0.008472443586947404,3.960866637620311e-05,911
nunes,7,903,6.524434005350036e-05,0.017883312868855705,910
giant,904,6,0.008425840486909189,0.00011882599912860934,910
demonic,906,2,0.008444481726924476,3.960866637620311e-05,908
belichick,902,1,0.008407199246893904,1.9804333188101555e-05,903
bursts,900,2,0.008388558006878618,3.960866637620311e-05,902
drags,900,1,0.008388558006878618,1.9804333188101555e-05,901
department,4,896,3.7282480030571634e-05,0.017744682536538995,900
prevent,855,44,0.007969130106534687,0.0008713906602764685,899
human,823,75,0.007670870266290114,0.0014853249891076167,898
congress,34,861,0.0003169010802598589,0.01705153087495544,895
smollett,892,1,0.008313993046817474,1.9804333188101555e-05,893
baby,804,87,0.007493778486144898,0.0017229769873648355,891
5,648,243,0.006039761764952605,0.0048124529647086784,891
pissed,879,5,0.008192824986718117,9.902166594050779e-05,884
goff,876,1,0.008164863126695187,1.9804333188101555e-05,877
stop,317,560,0.002954636542422802,0.011090426585336871,877
disappeared,869,1,0.008099618786641687,1.9804333188101555e-05,870
texas,758,103,0.007065029965793324,0.00203984631837446,861
democratic,150,710,0.0013980930011464362,0.014061076563552105,860
vote,654,204,0.006095685484998462,0.004040083970372718,858
even,277,579,0.0025818117421170855,0.011466708915910801,856
deactivation,851,1,0.007931847626504115,1.9804333188101555e-05,852
schiff,2,850,1.8641240015285817e-05,0.016833683209886322,852
exec,812,36,0.007568343446206042,0.000712955994771656,848
republican,42,803,0.00039146604032100216,0.01590287955004555,845
aoc,457,387,0.004259523343492809,0.007664276943795303,844
hands,826,16,0.0076988321263130426,0.0003168693310096249,842
joe,336,505,0.0031317283225680173,0.010001188259991287,841
able,819,21,0.007633587786259542,0.00041589099695013267,840
fox,131,708,0.001221001221001221,0.014021467897175902,839
suing,777,60,0.00724212174593854,0.0011882599912860935,837
letter,276,561,0.002572491122109443,0.011110230918524974,837
come,671,155,0.006254136025128392,0.0030696716441557413,826
aag,805,19,0.007503099106152542,0.0003762823305739296,824
lottery,820,1,0.007642908406267185,1.9804333188101555e-05,821
1,544,274,0.005070417284157742,0.0054263872935398265,818
game,745,73,0.006943861905693967,0.0014457163227314135,818
men,734,83,0.006841335085609895,0.0016437596546124292,817
still,641,169,0.005974517424899104,0.003346932308789163,810
blame,748,58,0.0069718237657168955,0.0011486513249098903,806
rape,804,1,0.007493778486144898,1.9804333188101555e-05,805
book,718,87,0.0066922051654876085,0.0017229769873648355,805
hate,624,178,0.0058160668847691745,0.0035251713074820772,802
son,53,749,0.0004939928604050742,0.014833445557888066,802
mark,515,284,0.004800119303936098,0.005624430625420842,799
w,348,448,0.003243575762659732,0.008872341268269497,796
enough,584,210,0.005443242084463459,0.004158909969501327,794
help,217,577,0.002022574541658511,0.011427100249534599,794
believe,485,307,0.004520500703706811,0.006079930288747178,792
investigation,465,326,0.004334088303553953,0.006456212619321108,791
intel,51,738,0.0004753516203897883,0.014615597892818948,789
thats,468,319,0.004362050163576881,0.006317582287004396,787
long,503,279,0.004688271863844383,0.0055254089594803345,782
patriots,763,16,0.007111633065831539,0.0003168693310096249,779
barr,3,775,2.7961860022928726e-05,0.015348358220778706,778
marxism,776,1,0.007232801125930897,1.9804333188101555e-05,777
