two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('change', 'report')",1062,9,0.009898498448116768,0.000178238998692914,1071
"('oil', 'executives')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('of', 'weapons')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('of', 'oil')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('whereabouts', 'of')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('current', 'whereabouts')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('weapons', 'current')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('locations', 'of')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('provides', 'locations')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('report', 'provides')",1063,1,0.009907819068124412,1.9804333188101555e-05,1064
"('ditch', 'climate')",1062,1,0.009898498448116768,1.9804333188101555e-05,1063
"('you', 'are')",847,213,0.007894565146473543,0.004218322969065632,1060
"('excuse', 'for')",677,364,0.006310059745174249,0.007208777280468967,1041
"('from', 'the')",250,787,0.002330155001910727,0.015586010219035926,1037
"('back', 'to')",969,67,0.009031680787405977,0.0013268903236028043,1036
"('clinton', 'linked')",1,1032,9.320620007642909e-06,0.020438071850120806,1033
"('to', 'clinton')",1,1023,9.320620007642909e-06,0.020259832851427892,1024
"('at', 'the')",136,877,0.0012676043210394356,0.017368400205965064,1013
"('new', 'deal')",986,18,0.009190131327535907,0.000356477997385828,1004
"('was', 'a')",739,254,0.006887938185648109,0.005030300629777796,993
"('the', 'whistleblower')",1,990,9.320620007642909e-06,0.01960628985622054,991
"('he', 'had')",877,109,0.008174183746702831,0.0021586723175030698,986
"('this', 'year')",946,39,0.00881730652723019,0.0007723689943359607,985
"('in', 'a')",676,299,0.006300739125166606,0.005921495623242365,975
"('accused', 'of')",933,38,0.008696138467130833,0.0007525646611478592,971
"('for', 'the')",287,683,0.0026750179421935146,0.013526359567473363,970
"('for', 'a')",229,731,0.002134421981750226,0.014476967560502239,960
"('and', 'the')",541,418,0.005042455424134814,0.008278211272626452,959
"('to', 'do')",201,755,0.0018734446215362245,0.014952271557016675,956
"('trying', 'to')",723,230,0.0067388082655258225,0.004554996633263358,953
"('linked', 'ukraine')",1,943,9.320620007642909e-06,0.018675486196379768,944
"('green', 'new')",922,18,0.008593611647046761,0.000356477997385828,940
"('project', 'veritas')",932,1,0.00868681784712319,1.9804333188101555e-05,933
"('ukraine', 'bombshell')",1,932,9.320620007642909e-06,0.01845763853131065,933
"('and', 'i')",292,639,0.0027216210422317294,0.012654968907196895,931
"('president', 'trump')",368,561,0.0034299881628125904,0.011110230918524974,929
"('going', 'to')",543,380,0.0050610966641501,0.007525646611478591,923
"('had', 'to')",883,40,0.008230107466748689,0.0007921733275240623,923
"('why', 'are')",909,12,0.008472443586947404,0.0002376519982572187,921
